concept_name,count_questions,count_modules,count_courses,count_enterprises,courses_title,
Height,56,56,56,1," Aquatics Skill Test; Big Red Boat - Ride Operation; Big Red Boat Skill; Big Red Car - Ride Operation; Big Red Car Skill; Buzzsaw Load Op - Ride Operation; Buzzsaw Op - Ride Operation'; ""Dorothy's Teacups - Ride Operation; ""Dorothy's Teacups Skill; Dronkey Flyers - Ride Operation; Dronkey Flyers Skill; Escape from Mad Load Op - Ride Operation; Escape from Mad Op - Ride Operation; Giant Drop Load Op - Ride Operation; Giant Drop Op - Ride Operation; Giant Drop Operator - Online Assessment'; ""Gingy's Glider - Ride Operation; Motocoaster DH - Ride Operation; Motocoaster Op - Ride Operation; Motocoaster Ride Attendant - Operations; Ogre-Go-Round - Online Assessment; Pandamonium DH - Ride Operation; Pandamonium DH Skill; Pandamonium Op - Ride Operation; Pandamonium Operator - Online Assessment; Pandamonium Ride Attendant - Online Assessment; Play school wheel DH - Ride Operation; Play School Wheel Op - Ride Operation; Puss in Boots - Ride Operation; Puss In Boots Online Assessment; Puss in Boots Skill; Shockwave DH - Ride Operation; Shockwave DH Skill; Shockwave Op - Ride Operation; Shreks Ogre Go Round - Ride Operation; Shreks Ogre Go Round Skill; Sidewinder DH - Ride Operation; Sidewinder Load Op - Ride Operation; Sidewinder Op - Ride Operation; Skadoosh - Ride Operation; Skadoosh Skill; Sky Voyager DH - Ride Operation; Sky Voyager Op - Ride Operation; Sky Voyager Opening Crew Online Assessment and Documentation; Sky Voyager Ride Attendant - Operations; Tailspin DH - Ride Operation; Tailspin Op - Ride Operation; The Claw DH - Ride Operation; The Claw Load Op - Ride Operation; The Claw Op - Ride Operation; Train Conductor - Ride Operation; Train Conductor Skill; Train Driver - Ride Operation; Vintage Cars - Ride Operation; Vintage Cars Skill; Wiggle Bay SA Skill)",
Weight,56,56,56,1," Aquatics Skill Test; Big Red Boat - Online Assessment; Big Red Boat - Ride Operation; Big Red Boat Skill; Big Red Car - Ride Operation; Big Red Car Skill; Buzzsaw Load Op - Ride Operation; Buzzsaw Op - Ride Operation'; ""Dorothy's Teacups - Ride Operation; ""Dorothy's Teacups Skill; Dronkey Flyers - Online Assessment; Dronkey Flyers - Ride Operation; Dronkey Flyers Skill; DW ATT - 001b - Green Room Slide Attendant; DW ATT - 001b - Green Room Slide Attendant v2; Escape from Mad Load Op - Ride Operation; Escape from Mad Op - Ride Operation; Giant Drop Load Op - Ride Operation; Giant Drop Op - Ride Operation'; ""Gingy's Glider - Ride Operation; ""Gingy's Gliders - Online Assessment; Motocoaster DH - Ride Operation; Motocoaster Op - Ride Operation; Motocoaster Ride Attendant - Operations; Ogre-Go-Round - Online Assessment; Pandamonium DH - Ride Operation; Pandamonium DH Skill; Pandamonium Op - Ride Operation; Play school wheel DH - Ride Operation; Play School Wheel Op - Ride Operation; Puss in Boots - Ride Operation; Puss In Boots Online Assessment; Puss in Boots Skill; Shockwave DH - Ride Operation; Shockwave DH Skill; Shockwave Op - Ride Operation; Shockwave Operator - Online Assessment; Shockwave Ride Attendant - Online Assessment; Sidewinder DH - Ride Operation; Sidewinder Load Op - Ride Operation; Sidewinder Op - Ride Operation; Skadoosh - Ride Operation; Skadoosh Skill; Sky Voyager Operator - Online Assessment; Sky Voyager Ride Attendant - Online Assessment; Tailspin DH - Ride Operation; Tailspin Op - Ride Operation; The Claw DH - Ride Operation; The Claw Load Op - Ride Operation; The Claw Op - Ride Operation; Train Conductor - Ride Operation; Train Conductor Skill; Train Driver - Ride Operation; Vintage Cars - Ride Operation; Vintage Cars Skill; Wiggle Bay SA Skill)",
Kill switch,97,53,53,1," Aquatics Skill Test; Big Red Boat - Ride Operation; Big Red Boat Skill; Big Red Car - Ride Operation; Big Red Car Skill; Buzzsaw Load Op - Ride Operation; Buzzsaw Op - Ride Operation'; ""Dorothy's Teacups - Ride Operation; ""Dorothy's Teacups Skill; Dronkey Flyers - Ride Operation; Dronkey Flyers Skill; Escape from Mad Load Op - Ride Operation; Escape from Mad Op - Ride Operation; Giant Drop Load Op - Ride Operation; Giant Drop Op - Ride Operation'; ""Gingy's Glider - Ride Operation; Motocoaster DH - Ride Operation; Motocoaster Op - Ride Operation; Motocoaster Ride Attendant - Operations; Pandamonium DH - Ride Operation; Pandamonium DH Skill; Pandamonium Op - Ride Operation; Play school wheel DH - Ride Operation; Play School Wheel Op - Ride Operation; Puss in Boots - Ride Operation; Puss in Boots Skill; Shockwave DH - Ride Operation; Shockwave DH Skill; Shockwave Op - Ride Operation; Shreks Ogre Go Round - Ride Operation; Shreks Ogre Go Round Skill; Sidewinder DH - Ride Operation; Sidewinder Load Op - Ride Operation; Sidewinder Op - Ride Operation; Skadoosh - Ride Operation; Skadoosh Skill; Sky Voyager DH - Ride Operation; Sky Voyager Op - Ride Operation; Sky Voyager Opening Crew Online Assessment and Documentation; Sky Voyager Ride Attendant - Operations; Standard Ride Operation - Skill; Tailspin DH - Ride Operation; Tailspin Op - Ride Operation; The Claw DH - Ride Operation; The Claw Load Op - Ride Operation; The Claw Op - Ride Operation; The Claw Operator - Online Assessment; Train Conductor - Ride Operation; Train Conductor Skill; Train Driver - Ride Operation; Vintage Cars - Ride Operation; Vintage Cars Skill; Wiggle Bay SA Skill)",
Push-button,97,53,53,1," Aquatics Skill Test; Big Red Boat - Ride Operation; Big Red Boat Skill; Big Red Car - Ride Operation; Big Red Car Skill; Buzzsaw Load Op - Ride Operation; Buzzsaw Op - Ride Operation'; ""Dorothy's Teacups - Ride Operation; ""Dorothy's Teacups Skill; Dronkey Flyers - Ride Operation; Dronkey Flyers Skill; Escape from Mad Load Op - Ride Operation; Escape from Mad Op - Ride Operation; Giant Drop Load Op - Ride Operation; Giant Drop Op - Ride Operation'; ""Gingy's Glider - Ride Operation; Motocoaster DH - Ride Operation; Motocoaster Op - Ride Operation; Motocoaster Ride Attendant - Operations; Pandamonium DH - Ride Operation; Pandamonium DH Skill; Pandamonium Op - Ride Operation; Play school wheel DH - Ride Operation; Play School Wheel Op - Ride Operation; Puss in Boots - Ride Operation; Puss in Boots Skill; Shockwave DH - Ride Operation; Shockwave DH Skill; Shockwave Op - Ride Operation; Shreks Ogre Go Round - Ride Operation; Shreks Ogre Go Round Skill; Sidewinder DH - Ride Operation; Sidewinder Load Op - Ride Operation; Sidewinder Op - Ride Operation; Skadoosh - Ride Operation; Skadoosh Skill; Sky Voyager DH - Ride Operation; Sky Voyager Op - Ride Operation; Sky Voyager Opening Crew Online Assessment and Documentation; Sky Voyager Ride Attendant - Operations; Standard Ride Operation - Skill; Tailspin DH - Ride Operation; Tailspin Op - Ride Operation; The Claw DH - Ride Operation; The Claw Load Op - Ride Operation; The Claw Op - Ride Operation; The Claw Operator - Online Assessment; Train Conductor - Ride Operation; Train Conductor Skill; Train Driver - Ride Operation; Vintage Cars - Ride Operation; Vintage Cars Skill; Wiggle Bay SA Skill)",
Function (mathematics),96,51,51,1," Aquatics Skill Test; Big Red Boat - Ride Operation; Big Red Boat Skill; Big Red Car - Ride Operation; Big Red Car Skill; Buzzsaw Load Op - Ride Operation; Buzzsaw Op - Ride Operation'; ""Dorothy's Teacups - Ride Operation; ""Dorothy's Teacups Skill; Dronkey Flyers - Ride Operation; Dronkey Flyers Skill; Escape from Mad Load Op - Ride Operation; Escape from Mad Op - Ride Operation; Giant Drop Load Op - Ride Operation; Giant Drop Op - Ride Operation'; ""Gingy's Glider - Ride Operation; Motocoaster DH - Ride Operation; Motocoaster Op - Ride Operation; Motocoaster Ride Attendant - Operations; Pandamonium DH - Ride Operation; Pandamonium DH Skill; Pandamonium Op - Ride Operation; Play school wheel DH - Ride Operation; Play School Wheel Op - Ride Operation; Puss in Boots - Ride Operation; Puss in Boots Skill; Shockwave DH - Ride Operation; Shockwave DH Skill; Shockwave Op - Ride Operation; Shreks Ogre Go Round - Ride Operation; Shreks Ogre Go Round Skill; Sidewinder DH - Ride Operation; Sidewinder Load Op - Ride Operation; Sidewinder Op - Ride Operation; Skadoosh - Ride Operation; Skadoosh Skill; Sky Voyager DH - Ride Operation; Sky Voyager Op - Ride Operation; Sky Voyager Opening Crew Online Assessment and Documentation; Sky Voyager Ride Attendant - Operations; Tailspin DH - Ride Operation; Tailspin Op - Ride Operation; The Claw DH - Ride Operation; The Claw Load Op - Ride Operation; The Claw Op - Ride Operation; Train Conductor - Ride Operation; Train Conductor Skill; Train Driver - Ride Operation; Vintage Cars - Ride Operation; Vintage Cars Skill; Wiggle Bay SA Skill)",
Gravity,61,47,47,1," Aquatics Skill Test; Big Red Boat - Ride Operation; Big Red Boat Skill; Big Red Car - Ride Operation; Big Red Car Skill; Buzzsaw Load Op - Ride Operation; Buzzsaw Op - Ride Operation'; ""Dorothy's Teacups - Ride Operation; ""Dorothy's Teacups Skill; Dronkey Flyers - Ride Operation; Dronkey Flyers Skill; Escape from Mad Load Op - Ride Operation; Escape from Mad Op - Ride Operation; Giant Drop Load Op - Ride Operation; Giant Drop Op - Ride Operation'; ""Gingy's Glider - Ride Operation; Motocoaster DH - Ride Operation; Motocoaster Op - Ride Operation; Motocoaster Ride Attendant - Operations; Pandamonium DH - Ride Operation; Pandamonium DH Skill; Pandamonium Op - Ride Operation; Play school wheel DH - Ride Operation; Play School Wheel Op - Ride Operation; Puss in Boots - Ride Operation; Puss in Boots Skill; Shockwave DH - Ride Operation; Shockwave DH Skill; Shockwave Op - Ride Operation; Shreks Ogre Go Round - Ride Operation; Shreks Ogre Go Round Skill; Sidewinder DH - Ride Operation; Sidewinder Load Op - Ride Operation; Sidewinder Op - Ride Operation; Skadoosh - Ride Operation; Skadoosh Skill; Tailspin DH - Ride Operation; Tailspin Op - Ride Operation; The Claw DH - Ride Operation; The Claw Load Op - Ride Operation; The Claw Op - Ride Operation; Train Conductor - Ride Operation; Train Conductor Skill; Train Driver - Ride Operation; Vintage Cars - Ride Operation; Vintage Cars Skill; Wiggle Bay SA Skill)",
Weather,45,45,45,1," Aquatics Skill Test; Big Red Boat - Ride Operation; Big Red Boat Skill; Big Red Car - Ride Operation; Big Red Car Skill; Buzzsaw Load Op - Ride Operation; Buzzsaw Op - Ride Operation'; ""Dorothy's Teacups - Ride Operation; ""Dorothy's Teacups Skill; Dronkey Flyers - Ride Operation; Dronkey Flyers Skill; Escape from Mad Load Op - Ride Operation; Escape from Mad Op - Ride Operation; Giant Drop Load Op - Ride Operation; Giant Drop Op - Ride Operation'; ""Gingy's Glider - Ride Operation; Pandamonium DH - Ride Operation; Pandamonium DH Skill; Pandamonium Op - Ride Operation; Play school wheel DH - Ride Operation; Play School Wheel Op - Ride Operation; Puss in Boots - Ride Operation; Puss In Boots Online Assessment; Puss in Boots Skill; Shockwave DH - Ride Operation; Shockwave DH Skill; Shockwave Op - Ride Operation; Shreks Ogre Go Round - Ride Operation; Shreks Ogre Go Round Skill; Sidewinder DH - Ride Operation; Sidewinder Load Op - Ride Operation; Sidewinder Op - Ride Operation; Skadoosh - Ride Operation; Skadoosh Skill; Tailspin DH - Ride Operation; Tailspin Op - Ride Operation; The Claw DH - Ride Operation; The Claw Load Op - Ride Operation; The Claw Op - Ride Operation; Train Conductor - Ride Operation; Train Conductor Skill; Train Driver - Ride Operation; Vintage Cars - Ride Operation; Vintage Cars Skill; Wiggle Bay SA Skill)",
Information,46,43,43,1," Aquatics Skill Test; Big Red Boat - Ride Operation; Big Red Boat Skill; Big Red Car - Ride Operation; Big Red Car Skill; Buzzsaw Load Op - Ride Operation; Buzzsaw Op - Ride Operation; Continuous Disclosure; Continuous Disclosure Copy; Dronkey Flyers - Ride Operation; Dronkey Flyers Skill; Escape from Mad Load Op - Ride Operation; Escape from Mad Op - Ride Operation; Giant Drop Load Op - Ride Operation; Giant Drop Op - Ride Operation'; ""Gingy's Glider - Ride Operation; Motocoaster DH - Ride Operation; Motocoaster Op - Ride Operation; Motocoaster Ride Attendant - Operations; Pandamonium DH - Ride Operation; Pandamonium DH Skill; Pandamonium Op - Ride Operation; Play school wheel DH - Ride Operation; Play School Wheel Op - Ride Operation; Puss in Boots - Ride Operation; Puss in Boots Skill; Shockwave DH - Ride Operation; Shockwave Op - Ride Operation; Shreks Ogre Go Round - Ride Operation; Shreks Ogre Go Round Skill; Sidewinder DH - Ride Operation; Sidewinder Load Op - Ride Operation; Sidewinder Op - Ride Operation; Skadoosh - Ride Operation; Skadoosh Skill; Standard Ride Operation - Skill; Tailspin DH - Ride Operation; Tailspin Op - Ride Operation; The Claw DH - Ride Operation; The Claw Load Op - Ride Operation; The Claw Op - Ride Operation; Vintage Cars - Ride Operation; Vintage Cars Skill)",
Safety,23,22,22,1," Aquatics Skill Test; Big Red Boat - Ride Operation; Big Red Boat Skill; Escape from Mad Load Op - Ride Operation'; ""Gingy's Glider - Ride Operation; Motocoaster DH - Ride Operation; Motocoaster Op - Ride Operation; Motocoaster Ride Attendant - Operations; Play school wheel DH - Ride Operation; Play School Wheel Op - Ride Operation; Puss in Boots - Ride Operation; Puss in Boots Skill; Shockwave DH - Ride Operation; Shockwave Op - Ride Operation; Sidewinder DH - Ride Operation; Sidewinder Load Op - Ride Operation; Sidewinder Op - Ride Operation; Tailspin DH - Ride Operation; Tailspin Op - Ride Operation; The Claw DH - Ride Operation; The Claw Load Op - Ride Operation; The Claw Op - Ride Operation)",
Employment,26,18,15,1, Bullying & Harassment - Online course; Continuous Disclosure; Continuous Disclosure Copy; Dreamworld/WhiteWater World COVID - SAFE Training; Drug and Alcohol Management - Online course; Drug and Alcohol Management- Online course; Engineering Services Induction; IT Systems Use - Online course; L4 Assessor VOC; Manual Tasks - Online course; RSA Refresher; Securities Trading; SkyPoint COVID-SAFE Training; Standard Ride Operation - Skill; Whistleblower Policy,
Dreamworld (Australian theme park),13,9,7,1, Code of Conduct - Online course; Engineering Services Induction; L4 Assessor VOC; Social Media; Media & Celebrities - Online course; Social Media; Media & Celebrities - Online course Copy; Standard Ride Operation - Skill; Test - Code of Conduct,
Maxima and minima,11,9,9,1, DW ATT - 001b - Green Room Slide Attendant; DW ATT - 001b - Green Room Slide Attendant v2; Pandamonium Operator - Online Assessment; Pandamonium Ride Attendant - Online Assessment; Sky Voyager DH - Ride Operation; Sky Voyager Op - Ride Operation; Sky Voyager Opening Crew Online Assessment and Documentation; Sky Voyager Ride Attendant - Operations; SkyPoint COVID-SAFE Training,
Management,9,8,7,1, Bullying & Harassment - Online course; Drug and Alcohol Management - Online course; Giant Drop Ride Attendant - Online Assessment; RSA Refresher; Shockwave Ride Attendant - Online Assessment; Tailspin - Online Assessment; Whistleblower Policy,
Truth value,9,8,8,1, Dreamworld/WhiteWater World COVID - SAFE Training; Drug and Alcohol Management - Online course; Drug and Alcohol Management- Online course; Fraud Awareness - Online course; Shockwave Ride Attendant - Online Assessment; SkyPoint COVID-SAFE Training; Social Media; Media & Celebrities - Online course; Social Media; Media & Celebrities - Online course Copy,
Signage,6,6,6,1, Motocoaster DH - Ride Operation; Motocoaster Op - Ride Operation; Motocoaster Ride Attendant - Operations; Play school wheel DH - Ride Operation; Play School Wheel Op - Ride Operation; Shockwave DH - Ride Operation,
DreamWorks Experience,15,6,6,1, Dronkey Flyers - Online Assessment; Dronkey Flyers - Ride Operation; Dronkey Flyers Skill; Skadoosh - Online Assessment; Skadoosh - Ride Operation; Skadoosh Skill,
Motorbike roller coaster,8,5,5,1, Motocoaster DH - Ride Operation; Motocoaster Op - Ride Operation; Motocoaster Operator - Online Assessment; Motocoaster Ride Attendant - Online Assessment; Motocoaster Ride Attendant - Operations,
Verification and validation,5,5,5,1, Giant Drop Operator - Online Assessment; Giant Drop Ride Attendant - Online Assessment; Pandamonium Ride Attendant - Online Assessment; Sky Voyager Ride Attendant - Online Assessment; Tailspin - Online Assessment,
Number,4,4,4,1, DW ATT - 001b - Green Room Slide Attendant; DW ATT - 001b - Green Room Slide Attendant v2; Puss In Boots Online Assessment; SkyPoint COVID-SAFE Training,
Policy,8,4,4,1, Drug and Alcohol Management - Online course; Drug and Alcohol Management- Online course; Securities Trading; Whistleblower Policy,
Subroutine,4,4,4,1, Madagascar Operator - Online Assessment; Ogre-Go-Round - Online Assessment; Sky Voyager Ride Attendant - Online Assessment; SkyPoint COVID-SAFE Training,
Smoke,4,4,4,1, Sky Voyager DH - Ride Operation; Sky Voyager Op - Ride Operation; Sky Voyager Opening Crew Online Assessment and Documentation; Sky Voyager Ride Attendant - Operations,
Unit of measurement,4,4,4,1, Sky Voyager DH - Ride Operation; Sky Voyager Op - Ride Operation; Sky Voyager Opening Crew Online Assessment and Documentation; Sky Voyager Ride Attendant - Operations,
Scientific method,4,4,4,1, Giant Drop Operator - Online Assessment; Giant Drop Ride Attendant - Online Assessment; Pandamonium Ride Attendant - Online Assessment; Sky Voyager Ride Attendant - Online Assessment,
Gift,4,4,4,1, Code of Conduct - Online course; Fraud Awareness - Online course; Tea Cups Attraction; Test - Code of Conduct,
Fire,4,4,4,1, Sky Voyager DH - Ride Operation; Sky Voyager Op - Ride Operation; Sky Voyager Opening Crew Online Assessment and Documentation; Sky Voyager Ride Attendant - Operations,
Computer,4,4,3,1, Engineering Services Induction; IT Systems Use - Online course; Standard Ride Operation - Skill,
Computer security,4,4,4,1, Giant Drop Operator - Online Assessment; Giant Drop Ride Attendant - Online Assessment; Pandamonium Ride Attendant - Online Assessment; Tailspin - Online Assessment,
Algorithm,4,4,4,1, Drug and Alcohol Management - Online course; Drug and Alcohol Management- Online course; Lock out tag out; Playschool Wheel - Online Assessment,
Breach of contract,3,3,3,1, Continuous Disclosure; Continuous Disclosure Copy; Securities Trading,
Alcoholic drink,3,3,3,1, Drug and Alcohol Management - Online course; Drug and Alcohol Management- Online course; RSA Refresher,
Cheque,3,3,3,1, Big Red Boat - Online Assessment; Dronkey Flyers - Online Assessment; Madagascar Operator - Online Assessment,
Corporation,7,3,3,1, Continuous Disclosure; Continuous Disclosure Copy; Whistleblower Policy,
Food,3,3,1,1, Food Safety - Online course,
Hard and soft (martial arts),3,3,3,1, Pandamonium DH - Ride Operation; Pandamonium DH Skill; Pandamonium Op - Ride Operation,
Equestrianism,3,3,3,1, Engineering Services Induction; Lock out tag out; Puss In Boots Online Assessment,
Element (mathematics),3,3,3,1, Dreamworld/WhiteWater World COVID - SAFE Training; L4 Assessor VOC; SkyPoint COVID-SAFE Training,
Economic policy,3,3,3,1, Dreamworld/WhiteWater World COVID - SAFE Training; Securities Trading; SkyPoint COVID-SAFE Training,
Security (finance),6,3,3,1, Continuous Disclosure; Continuous Disclosure Copy; Securities Trading,
